,user-screen_name,text,user-location,lang,retweet_count,created_at,hashtags,SocialEmotionalLearning,STEMeducation,EnglishLanguageDevelopment,ESSER,k12
4262,geauxdores,Your feedback is needed to finalize Maryland's plan for the use of #ARP #ESSER funding. The $1.95 billion allocation will help meet the urgent needs of our schools &amp; students in the aftermath of the pandemic. Help Maryland finalize its plan NOW: https://t.co/4Yvj4EkFhL https://t.co/dgnWMR1GEo,"Prince George’s County, MD",en,3.0,Wed Jul 07 23:05:57 +0000 2021,"['ARP', 'ESSER']",False,False,False,True,False
4263,KilleenISD_HR,"See our latest Killeen, TX job and click to apply: Middle School Teacher - Reading/Dyslexia - https://t.co/ztALOLuLzR #K12 #Education","Killeen, Texas",en,0.0,Wed Jul 07 23:06:36 +0000 2021,"['K12', 'Education']",False,False,False,False,True
4268,NZScienceLearn,"What does the moon, running with dinosaurs, and explosive science have in common? It’s all happening as part of this year's NZ International Science Festival! 
https://t.co/h7LhBgnqM5
#STEMeducation #STEMfun @NZSciFest @Otago
@otagocommtrust #SchoolHolidaysNZ @DnCityCouncil https://t.co/w8iCVuO3IW",New Zealand,en,0.0,Wed Jul 07 23:08:44 +0000 2021,,False,True,False,False,False
4269,PETsNet,"Late Registration for #VT2021 has started 🖥️ 
Hurry up! 🏃🏽‍♂️🏃🏼‍♀️🏃🏾🏃‍♂️🏃‍♂️
Go to https://t.co/FAix5B0zCt and register 👩🏻‍💻
#ELT #ESL #EFL #VenTESOL2021 https://t.co/JIC4BuZW5v","Lima, Peru",en,5.0,Wed Jul 07 23:09:17 +0000 2021,['VT2021'],False,False,True,False,False
4276,CISLosAngeles,"CISLA is the additional support that will help our students increase the chance that they will overcome this statistic. Help change this stat. Donate today: https://t.co/WG7pPd9amX

#CISLAadvocates  #InPartnershipWithGPSN #edchat #K12 #learning #literacy #edreform https://t.co/f4cPtcuy5o","Los Angeles, CA",en,0.0,Wed Jul 07 23:14:29 +0000 2021,,False,False,False,False,True
4278,sharongbrooks1,@tedcruz Including social and emotional learning,,en,0.0,Wed Jul 07 23:16:42 +0000 2021,,False,False,False,False,False
4279,HeatherVSneed,Here is a quick #short from our son’s #youtube channel on #quantumsuicide #youtubeshorts #quantummechanic #quantumphysics #STEM #STEMeducation  https://t.co/M50FdTpMct,"Phoenix, AZ",en,0.0,Wed Jul 07 23:17:40 +0000 2021,"['short', 'youtube', 'quantumsuicide', 'youtubeshorts', 'quantummechanic']",False,True,False,False,False
4280,CheqWell,Daily check in’s don’t have complicated but are so valuable! How do you check in with your students?! #SEL https://t.co/wF3TN5BPwQ,"Baltimore, Maryland",en,1.0,Wed Jul 07 23:18:53 +0000 2021,['SEL'],True,False,False,False,False
4281,vubblePOP,"📽️🧠🤯

Theoretical physicist breaks down the Marvel multiverse https://t.co/7qOLESkoAm via @WIRED, @michiokaku ht @LetsTalkScience 

#Physics #MarvelStudios #MarvelMultiverse #Loki #Multiverse #explainer #theory #Science #STEM #STEMed #STEMeducation",Everywhere,en,0.0,Wed Jul 07 23:20:00 +0000 2021,,False,True,False,False,False
4282,ClassroomChamps,Social and Emotional Learning #SEL has evolved over the years. What does it mean now? https://t.co/V4iOhT8tXp,North America and Canada,en,0.0,Wed Jul 07 23:21:00 +0000 2021,['SEL'],True,False,False,False,False
4283,books_alexandra,"#K12 #Superintendents and #Principals, give your #teachers and their #strugglingreaders a fresh start by joining over 18,500 schools using the #LearningAlly #Audiobook Solution!  

Getting started is easy! Just click the link below:
https://t.co/ziCL9cNYXy https://t.co/6R1XgJ9Qv7",,en,0.0,Wed Jul 07 23:21:03 +0000 2021,"['K12', 'Superintendents', 'Principals', 'teachers', 'strugglingreaders']",False,False,False,False,True
4284,TaraVanCaster,🎯exactly. #comprehensiveeducation #SEL,"Hortonville, WI",en,0.0,Wed Jul 07 23:22:07 +0000 2021,"['comprehensiveeducation', 'SEL']",True,False,False,False,False
4285,SharonJepson4,"#K12 #Superintendents and #Principals, one in five students has #dyslexia. Can your #teachers and staff recognize the signs? 

Share our @Learning_Ally white paper identifying seven common signs of dyslexia with your teaching staff. 

Free download here: https://t.co/rQp9qIDQaD https://t.co/mFfbVefvdV",,en,0.0,Wed Jul 07 23:23:02 +0000 2021,"['K12', 'Superintendents', 'Principals', 'dyslexia', 'teachers']",False,False,False,False,True
4286,garfieldoakland,"Today we spotlight Oakland, CA educator Carrie Landheer. She shares how her students have grown in their ability to use tools, space, and language to talk about their emotions with the CASEL SELect Caring School Community program. #SEL @garfieldoakland
https://t.co/uvCxYPhkjK https://t.co/Ytfh9LJFEY","Oakland, CA",en,2.0,Wed Jul 07 23:24:35 +0000 2021,,True,False,False,False,False
4288,MrsWakeReads,Who doesn’t love a strong and confident STEM unicorn?!?!  I’m sure @salas_leighann @3rdwithKolek @misulonas_lynn @2ndgradewilson @Snico07 all do!!,"Illinois, USA",en,0.0,Wed Jul 07 23:25:52 +0000 2021,,False,False,False,False,False
4289,phoneguymark,So much of #K12 learning has evolved in the past couple years. DM to talk more about collaborating on your newest classroom ideas. @K12DiveNews #cdwsocial https://t.co/2tNWTxdlBv https://t.co/x3Emy1x2L7,Up Nort,en,0.0,Wed Jul 07 23:26:04 +0000 2021,['K12'],False,False,False,False,True
4290,CLC_of_Alaska,"We had two special guest instructors during Space Camp, Patrick Walgren and Hannah Stroud from Texas A&amp;M University. Thank you for spending time at Challenger Learning Center of Alaska and helping our campers explore the wonders of space! #STEMeducation #CHALLENGER #alaska #camp https://t.co/rhMuo8zD3x","Kenai, AK",en,0.0,Wed Jul 07 23:27:51 +0000 2021,,False,True,False,False,False
4291,RaptorK12,"Districts are receiving an unprecedented amount of funding to address the impacts of COVID-19. When used strategically, these funds can help you with both COVID-19 mitigation and long-term safety needs.

Learn more about #ARP #ESSER at https://t.co/F1GrU6zMMu https://t.co/h7iOLkX9Ep","Houston, Texas",en,0.0,Wed Jul 07 23:28:03 +0000 2021,,False,False,False,True,False
4295,MilwaukeeMPS,"The Office of Finance will host listening sessions for the development of the Elementary and Secondary School Emergency Relief Fund (ESSER III) plan TOMORROW night from 5:30 – 6:30 P.M. at Wisconsin Conservatory of Lifelong Learning.

Learn more at https://t.co/qr4bIZvQyt https://t.co/6re7FOgzPb",Milwaukee,en,0.0,Wed Jul 07 23:31:01 +0000 2021,,False,False,False,True,False
4297,brendanedu,"Playing with some augmented reality, inspired by @IndigitalEdu and @jade_mikaela #stem #STEMeducation @AsiaEducation @UniMelb https://t.co/1dx6e57HfS",Wurundjeri land,en,0.0,Wed Jul 07 23:31:35 +0000 2021,"['stem', 'STEMeducation']",False,True,False,False,False
4304,ASBMB,"Science relies on identifying THE most important questions. How will young people learn this skill in our answers-focused world? 

Thought-provoking article from @ASBMB by Daniel Dries, Chair of Chemistry and Biochemistry @juniatacollege. #STEMeducation 

https://t.co/MjYHa4WfVg","Rockville, Maryland",en,1.0,Wed Jul 07 23:34:00 +0000 2021,,False,True,False,False,False
4305,3Duxdesign,"Gotta love STEAM camp. Learning about birds, drafting and building. It doesn’t get better #STEMeducation #TEACHers #STEMcamp #elemmathchat #education https://t.co/DoFAbASais","Bridgeport, CT",en,0.0,Wed Jul 07 23:34:11 +0000 2021,"['STEMeducation', 'TEACHers']",False,True,False,False,False
4308,TeacherCast,"For the last 10 years, I have relied on @ScreenFlow to create all my video tutorials. Click here to learn how you can use the new #ScreenFlow 10 from @Telestream in your classroom.

Read more 👉 https://t.co/7VKepQMI2W

#telestream #screenflow #edtech #screencasting #K12 #EDU https://t.co/v76UnZrOsQ",Philadelphia,en,0.0,Wed Jul 07 23:36:12 +0000 2021,,False,False,False,False,True
4310,senora_guerrero,Engineering and problem solving #STEM #STEMeducation @TenaflySchools #summerlearning #summerenrichment https://t.co/aKcs0q5QkO,"New Jersey, USA",en,0.0,Wed Jul 07 23:37:29 +0000 2021,"['STEM', 'STEMeducation', 'summerlearning', 'summerenrichment']",False,True,False,False,False
4315,milahomen,"@JMA_Crypto @CCISD Social Emotional Learning (SEL), culturally responsive/relevant teaching, DEI trainings. Where there’s will there’s a way,  and they find it successfully and discreetly","Corpus Christi, TX",en,0.0,Wed Jul 07 23:39:35 +0000 2021,,True,False,False,False,False
4316,CMAdamson3,"We know that we have #GirlsWhoCode , so as #STEM teachers, how do we keep these girls doing it from Elementary to High school?
#STEMeducation 
#Studentengagement",Michigan ,en,0.0,Wed Jul 07 23:40:04 +0000 2021,"['GirlsWhoCode', 'STEM']",False,True,False,False,False
4321,k12techtalkpod,Check out our latest episode at https://t.co/Is37CFlcA3 #podcast #k12 #k12tech #k12techtalk #k12pod #k12podcast #edtech #GoogleEDU https://t.co/CD8bblOs32 on #Podbean,Missouri,en,0.0,Wed Jul 07 23:42:10 +0000 2021,"['podcast', 'k12', 'k12tech', 'k12techtalk', 'k12pod', 'k12podcast']",False,False,False,False,True
4325,mikekaechele,We need to see the cultural strengths of all of our students. https://t.co/BI2gHLQki9 #sel,"Michigan, USA",en,0.0,Wed Jul 07 23:44:00 +0000 2021,['sel'],True,False,False,False,False
4330,KidSparkEdu,Reminiscing on our 2018 ROK Reactor Challenge with these all stars! It's always so fun to see the creative solutions Kid Spark students come up with in these #engineering challenges ⚙️💡 #STEM #STEMeducation https://t.co/bixy5Ub0Dq,"San Diego, CA",en,0.0,Wed Jul 07 23:46:00 +0000 2021,,False,True,False,False,False
4334,JoeSlifka,"We'll, this seems like a very exciting piece of news! Best wishes to Harvey Dean on his retirement!","Youngstown, OH",en,0.0,Wed Jul 07 23:48:43 +0000 2021,,False,False,False,False,False
4335,kayuoit,"Nice interview about our upcoming Ed Tech conference at https://t.co/COvC9X6P74
#edtech #k12 #highered","Toronto, CANADA",en,0.0,Wed Jul 07 23:48:46 +0000 2021,"['edtech', 'k12', 'highered']",False,False,False,False,True
4336,SWreadquest,"#K12 #Superintendents and #Principals, one in five students have #dyslexia. Can your #teachers and staff recognize the signs? 

Share our @Learning_Ally white paper identifying seven common signs of dyslexia with your teaching staff. 

Free download here: https://t.co/ZsGWdQCUKM https://t.co/YIpQaWvpFz",,en,0.0,Wed Jul 07 23:49:03 +0000 2021,"['K12', 'Superintendents', 'Principals', 'dyslexia', 'teachers']",False,False,False,False,True
4339,jc_james_clark,"Nice interview about our upcoming Ed Tech conference at https://t.co/COvC9X6P74
#edtech #k12 #highered https://t.co/AQiuUFDiP1",United States of America,en,1.0,Wed Jul 07 23:51:02 +0000 2021,"['edtech', 'k12', 'highered']",False,False,False,False,True
4342,HMlovesbooks,"#K12 #Superintendents and #Principals, would it surprise you to learn that using #audiobooks can improve reading scores? It's true! We explore the most pervasive myths about audiobooks in the #classroom in this infographic.

Download it now!
https://t.co/GOhRGeemgR https://t.co/dZxU6Rcxwx",,en,0.0,Wed Jul 07 23:52:03 +0000 2021,"['K12', 'Superintendents', 'Principals', 'audiobooks']",False,False,False,False,True
4345,quarantinebeat,".@SoniaFurstenau @ElizabethMay @JM_Whiteside The overwhelming evidence is —despite earlier #PHO statements to contrary—#COVIDisAirborne as primary transmission route. So what is being done NOW in #BCEd #k12 to ensure safe #ventilation in schools—classrooms, etc? 👇 https://t.co/Ss5lpFCjiB",2 Rivers served me to the Sea,en,2.0,Wed Jul 07 23:52:40 +0000 2021,['PHO'],False,False,False,False,True
4347,kayuoit,"TVO will be offering a great interactive session at our upcoming conference - see https://t.co/COvC9X6P74
#k12 #tvontario","Toronto, CANADA",en,0.0,Wed Jul 07 23:53:28 +0000 2021,['k12'],False,False,False,False,True
4352,MrsVeeReads,"Day 2 of in person summer school ✔ My 1st time live teaching in over a year. Feels so good to see these kiddos.

Today @ dismissal little one jumps in car and says, ""I made a friend today!"" 😭 #sosweet #SEL #studentconnections #gladtobeback","Tonawanda, New York ",en,0.0,Wed Jul 07 23:54:28 +0000 2021,,True,False,False,False,False
4353,EdSurge,"Children’s hospitalizations for mental health-related issues rose by more than a quarter in 2020, and more than half of 11- to 17-year-olds reported having regular thoughts of suicide or self-harm. #k12 #mentalhealth https://t.co/X1bVpT2a0V","Portland, OR",en,0.0,Wed Jul 07 23:55:01 +0000 2021,,False,False,False,False,True
4354,AbbroseRose,Great things to come!,"Illinois, USA",en,0.0,Wed Jul 07 23:55:44 +0000 2021,,False,False,False,False,False
4355,weareTEAMology,"Check out Our latest Newsletter! #sel and ARP dollars, Snack Sized SEL, and #coping skills! #selchat #pbischat #edchat #elemchat #escchat #scchat #edtech https://t.co/VMSPdclTd6",,en,0.0,Wed Jul 07 23:56:11 +0000 2021,"['sel', 'coping', 'selchat', 'pbischat']",True,False,False,False,False
4356,amesamie6_9,"Wouldn't call it rigged, even though i do believe #UEFA rigs its games a lot. But about #ESL UEFA is solely responsible for this.",Za Warudo,en,0.0,Wed Jul 07 23:56:37 +0000 2021,"['UEFA', 'ESL']",False,False,True,False,False
4357,DrJacieMaslyk,This looks awesome!!,Pittsburgh PA,en,0.0,Wed Jul 07 23:56:43 +0000 2021,,False,False,False,False,False
4359,bitgabEnglish,New English activities every day! #LearnEnglish #EnglishOnline #SpeakEnglish #Writing #Vocabulary #Vocab #ELT #ESL #TESOL https://t.co/JMRfGLwuX0,,en,0.0,Wed Jul 07 23:57:39 +0000 2021,"['LearnEnglish', 'EnglishOnline', 'SpeakEnglish', 'Writing', 'Vocabulary', 'Vocab', 'ELT', 'ESL']",False,False,True,False,False
4360,bitgabEnglish,New English activities every day! #LearnEnglish #EnglishOnline #SpeakEnglish #Grammar #Vocabulary #Vocab #ELT #ESL #TESOL https://t.co/i41rqttpQT,,en,0.0,Wed Jul 07 23:57:43 +0000 2021,"['LearnEnglish', 'EnglishOnline', 'SpeakEnglish', 'Grammar', 'Vocabulary', 'Vocab', 'ELT', 'ESL']",False,False,True,False,False
4361,bitgabEnglish,New English activities every day! #LearnEnglish #EnglishOnline #SpeakEnglish #Reading #Vocabulary #Vocab #ELT #ESL #TESOL https://t.co/j7jJxD0owd,,en,0.0,Wed Jul 07 23:57:47 +0000 2021,"['LearnEnglish', 'EnglishOnline', 'SpeakEnglish', 'Reading', 'Vocabulary', 'Vocab', 'ELT', 'ESL']",False,False,True,False,False
4362,OT_FED,"TVO will be offering a great interactive session at our upcoming conference - see https://t.co/COvC9X6P74
#k12 #tvontario https://t.co/RiHkiglV7r","Oshawa, Ontario",en,1.0,Wed Jul 07 23:57:58 +0000 2021,"['k12', 'tvontario']",False,False,False,False,True
4363,MsKei28,@teacher2teacher @sv314dws @robinsons_room @teacherstenger @ArielParker_TIC @isiatt @BonnySDieterich @JessDeLisa @AguirreLearns @Cleeman98 I love this question! Some of my strategies include: checking in w/ Ss in a variety of ways;high-interest topics that spark conversation; embracing &amp; modeling academic &amp; social emotional struggle &amp;mistakes as part of the learning process. I also ask for student feedback &amp; USE it.,"California, USA",en,0.0,Wed Jul 07 23:58:56 +0000 2021,,False,False,False,False,False
4364,Rdene915,"Inspiring educator stories, get your copy:  True Story: Lessons That One Kid Taught Us, https://t.co/OSmu07E5pl or DM me!  #educhat #edutwitter  #elemchat #suptchat #education #SEL #selfcare @thriveinedu @EduMatchBooks #k12 https://t.co/MV2qgcqtsm",Pittsburgh,en,0.0,Wed Jul 07 23:59:08 +0000 2021,,True,False,False,False,True
4365,Rdene915,Need ideas or inspiration? Grab copies of In Other Words &amp; True Story Lessons That One Kid Taught Us Discounts for 10+ https://t.co/3iFdxqz9ob #education #quotes #EduMatch #teachertwitter  #PLN #hybridlearning #k12 #edtech #suptchat #quotesoftheday https://t.co/AeoZgdf9jt,Pittsburgh,en,0.0,Wed Jul 07 23:59:09 +0000 2021,,False,False,False,False,True
4367,QubilahHudd,"@tswaak27 @jamiekfragale I’m not sure that all ARP ESSER III dollars have been allocated within all LEAs. Last time I checked, DCPS has given schools some ESSER III funds but  not all schools have decided how to spend them. I’m unsure about what’s happening in the charter sector unfortunately.",,en,0.0,Wed Jul 07 23:59:16 +0000 2021,,False,False,False,True,False
4371,weareTEAMology,"Check out Our latest Newsletter! #sel and ARP dollars, Snack Sized SEL, and #coping skills! #selchat #pbischat #edchat #elemchat #escchat #scchat #edtech https://t.co/MW7PDU8H7t",,en,0.0,Wed Jul 07 23:59:49 +0000 2021,"['sel', 'coping', 'selchat', 'pbischat']",True,False,False,False,False
4372,OHschoolboards,The bus stops here! OSBA is ready to help your district get into the driver's seat by assisting with all of your school transportation needs. Learn more at https://t.co/6K6QuJBUH1 #OhioEd #K12 #EdLeaders https://t.co/rEb2AqVXpQ,"Columbus, OH",en,0.0,Thu Jul 08 00:00:01 +0000 2021,,False,False,False,False,True
4373,TokidokiNomad,"CELTA, Face to Face course, June 21-July 16, 2021, Austin, Texas🇺🇸 

Texas Global | The University of Texas at Austin 
@UTexasGlobal @UTexasELC 

#CELTA #esl #eslteaching #teachertraining #education https://t.co/dSMKz9BO08",Brand Ambassador for Vivitar Camera Bags,en,0.0,Thu Jul 08 00:00:03 +0000 2021,,False,False,True,False,False
4374,EnglishGarage,"Put the air-conditioner on! Put the AC on! #English #summer #vocabulary #ESL, #EFL, #inglés #anglais #английский #英语 #英語 #영어 #learnenglish. Much more at: https://t.co/2siyBO725x",New York and Online,en,0.0,Thu Jul 08 00:00:38 +0000 2021,"['English', 'summer', 'vocabulary', 'ESL', 'EFL', 'inglés', 'anglais', 'английский']",False,False,True,False,False
4376,visualblearning,#visualbrandlearning #TPT #Pinterest #Facebook #ESL #Spanish #ancienthistory #science #middleschool #dyslexia #add How to help #ADHD students focus https://t.co/KBYtKHj3Dx #aspergerssyndrome #dyslexia #esl #homeschool #studyguides #studystrategies #visuallearning,"Franklin, MI",en,0.0,Thu Jul 08 00:02:10 +0000 2021,"['visualbrandlearning', 'TPT', 'Pinterest', 'Facebook', 'ESL', 'Spanish', 'ancienthistory', 'science', 'middleschool', 'dyslexia', 'add']",False,False,True,False,False
4378,mnunn8_nunn,"@InezFeltscher Social Emotional Learning, Culturally Responsive Teaching, Intersectionality, Comprehensive Sexual Education, all embody what the Left is trying to do. The hardest part is they wrap it in shiny paper called “kindness”, “empathy”, and “compassion”. It’s none of those.",,en,4.0,Thu Jul 08 00:03:52 +0000 2021,,True,False,False,False,False
4380,hgse_profed,"Learn how to develop your school’s systems and culture for excellent teaching and learning in Leading Learning, a brand new CSML course beginning on July 21st. Apply by Friday, July 9th: https://t.co/mPPWYy5q9c #K12 #Principals https://t.co/68M5BksRHT","Cambridge, MA",en,0.0,Thu Jul 08 00:07:07 +0000 2021,,False,False,False,False,True
4381,move_thisworld,"We love these commercials from our 3rd grade friends at @Distinctive_Edu! Emma explains how she uses the Emoger™ Drink a Glass of Water to calm down when she feels mad.

Our PreK-12 #SEL programs offer a unique curriculum for each grade level. Learn more: https://t.co/3KFH5PAvOl https://t.co/GQ58Ky9Knv",Global,en,0.0,Thu Jul 08 00:07:15 +0000 2021,,True,False,False,False,False
4382,GrandmasEat,"@MelanieLBBH I can't say how much I love this album it is soo good (been listening to it non for the past week) &lt;3
#k12 #K12Movie #MelanieMartinez #crybaby #digitalart #aesthetic https://t.co/47ShKJYdzG",Your closet,en,1.0,Thu Jul 08 00:08:27 +0000 2021,['k12'],False,False,False,False,True
4385,kraekerc,@MsSalvac @mikelevy314 @miketamasi @shan_robb @CatrineMacDona1 @RobinsonJeffery @ezaplatar @MelissaAllder @PocockTrish @MissCuckovic @Sheppard1Sheri @nomadiceducator Was hoping to get somebody from @EagleHeightsPS to answer your question. They have a huge #ELL/ESL pop. I thot @Sheppard1Sheri was there. I know @hilary_paterson is their TL &amp; knows everything. Also @Liemtl at @BonaventurePS might have insights into that question of organization,"London, Ontario, Canada",en,0.0,Thu Jul 08 00:10:49 +0000 2021,,False,False,True,False,False
4386,MuirReads,"#K12 #Superintendents and #Principals, would it surprise you to learn that using #audiobooks can improve reading scores? It's true! We explore the most pervasive myths about audiobooks in the #classroom in this infographic.

Download it now!
https://t.co/c6xN1rRqKa https://t.co/c3joYKZguG",,en,0.0,Thu Jul 08 00:11:03 +0000 2021,"['K12', 'Superintendents', 'Principals', 'audiobooks']",False,False,False,False,True
4388,micketi1950,"Get your children out of government schools !
They aren't taught the 3 r's there anyway 😪.",Some where in AZ,en,0.0,Thu Jul 08 00:12:42 +0000 2021,,False,False,False,False,False
4392,NZScienceLearn,"We're hearing a lot about #microplastics in the news thanks to recent research 
So what exactly are microplastics? And what's the difference between a primary and secondary microplastic?
https://t.co/GuOFqXobfm
#STEMeducation #PlasticFreeJuly @PlasticFreeJuly @PlasticPolChal https://t.co/4UCFY5Mm7p",New Zealand,en,0.0,Thu Jul 08 00:14:00 +0000 2021,['microplastics'],False,True,False,False,False
4393,KPloves2read,"#K12 #Superintendents and #Principals, one in five students has #dyslexia. Can your #teachers and staff recognize the signs?

Share our #LearningAlly white paper identifying seven common signs of dyslexia with your teaching staff.

Free download here: https://t.co/11OmDiQ1CU https://t.co/YGTRpctamo",Pittsburgh. Pa,en,0.0,Thu Jul 08 00:14:03 +0000 2021,"['K12', 'Superintendents', 'Principals', 'dyslexia', 'teachers']",False,False,False,False,True
4394,ilearnenglish,Word of the day for July 8 from Wikitionary https://t.co/DFoskKFKQ3 #ESL #learnenglish,India,en,0.0,Thu Jul 08 00:14:14 +0000 2021,"['ESL', 'learnenglish']",False,False,True,False,False
4399,marty10707,"Thank you, @rweingarten, for this common sense blueprint for reopening schools.  Your commitment to providing a safe, healthy and supportive environment for tracing &amp; learning is real - and much appreciated!","Tuckahoe, NY",en,0.0,Thu Jul 08 00:18:28 +0000 2021,,False,False,False,False,False
4404,allison_rozo,This looks adorable! 🦄👩‍🔬💕,"Akron, OH",en,0.0,Thu Jul 08 00:20:07 +0000 2021,,False,False,False,False,False
4407,julie_hinshaw,This is a huge part of what I’ve been coordinating at CS over the last few months. So excited for its unveiling! The Implementation Roadmap is a guide to roll out SEL with fidelity &amp; for lasting impact. Tag a principal! #SEL @charleyerwin @mr_hennig  @pcredraider @Myersron80,"Trophy Club, TX",en,0.0,Thu Jul 08 00:21:40 +0000 2021,,True,False,False,False,False
4417,MissyMCoffey,"NOW AVAILABLE: Early Childhood Policy Matters, @PDGB5Center’s new #podcast series. Tune in to learn why #earlychildhood mental health matters &amp; hear engaging interviews w/ state staff &amp; practitioners on key #mentalhealth &amp; #SEL issues. https://t.co/Yu8549dwcK https://t.co/YsmbDZQOWR",,en,1.0,Thu Jul 08 00:27:08 +0000 2021,"['podcast', 'earlychildhood']",True,False,False,False,False
4419,rob06615,Great article about building self-advocacy in children!,,en,0.0,Thu Jul 08 00:28:04 +0000 2021,,False,False,False,False,False
4421,americantesol,Language systems: an overview: https://t.co/Lzulqf7Jg2 #TESOL #ESL #TEFL #EFL #ELLs,"Tampa, FL",en,0.0,Thu Jul 08 00:28:31 +0000 2021,"['TESOL', 'ESL', 'TEFL', 'EFL', 'ELLs']",False,False,True,False,False
4425,2peasandadog,Successful classrooms run on routines. Check out three routines that can be added to your ELA classroom that will benefit both teachers and students. https://t.co/8xsPFkJ4Ua #edchat #teachertips #ntchat #newteachers #education #K12 #teachers https://t.co/uZvPzOanQN,"Toronto, Ontario, Canada",en,0.0,Thu Jul 08 00:30:30 +0000 2021,,False,False,False,False,True
4427,SEL4USA,Advancing #SEL as a lever for #Equity and Excellence. @caselorg https://t.co/PAAWe34owz,US,en,2.0,Thu Jul 08 00:30:47 +0000 2021,"['SEL', 'Equity']",True,False,False,False,False
4428,SEL4MA,How to Be an Antiracist Educator: An Interview With Ibram X. Kendi @edsurge #antiracist #ibramxkendi #SEL https://t.co/i0LHhm4i34,Massachusetts,en,13.0,Thu Jul 08 00:30:47 +0000 2021,"['antiracist', 'ibramxkendi', 'SEL']",True,False,False,False,False
4429,SEL4NJ,Ten Keys to Everyday Anti-Racism @GreaterGoodSC #SEL #antiracisim #30daychallenge https://t.co/WHTLnpMi43,"New Jersey, USA",en,2.0,Thu Jul 08 00:30:48 +0000 2021,"['SEL', 'antiracisim', '30daychallenge']",True,False,False,False,False
4430,SEL4TX,When Social-Emotional Learning Is Misused @educationweek #SEL #equity #educationweek https://t.co/YYoGo0aG2f,"Austin, TX",en,12.0,Thu Jul 08 00:30:48 +0000 2021,"['SEL', 'equity', 'educationweek']",True,False,False,False,False
4434,Scandela9,"I would love to open this Q up to my awesome new #PowerOfConnections crew. We just spent over an hour talking about kinds of connections we need to help us ""flourish."" 
But what about our kids? 
@SMoore_teach @BetsyCallanan @SturmDon  @sandra_donaghue @MrsThompsonPrin","Los Angeles, CA",en,0.0,Thu Jul 08 00:34:11 +0000 2021,['PowerOfConnections'],False,False,False,False,False
4436,jessrbernstein,"Effective #SEL is schoolwide! Gain insights into the key elements of SEL implementation in this article by two of CASEL’s resident experts, @jessrbernstein &amp; @pamran717, in @edutopia: https://t.co/CuEFcyafi2 

More free guidance: https://t.co/0MKlEcS8a5 https://t.co/ObRemGaddF","Chicago, IL",en,2.0,Thu Jul 08 00:35:29 +0000 2021,['SEL'],True,False,False,False,False
4438,FreeBlckThought,"Listen as FBT's newest member, @JasonTheeHuman of @empowerED_TX, discusses human empathy and the danger posed to it by the reigning orthodoxy in K-12 education:",USA,en,0.0,Thu Jul 08 00:36:33 +0000 2021,,False,False,False,False,False
4440,SMoore_teach,"I build in opps for them to share their interests, I use independent work time to walk around &amp; converse w/ kids about those interests, I do 10-min written check ins (every 6 weeks) where they answer:

Whats one thing you want to share w/ me today?

Then I respond to every one!","Visalia, California",en,0.0,Thu Jul 08 00:37:53 +0000 2021,,False,False,False,False,False
4443,aflnewberry,"#Numberella is a global game, played from Alaska to Adelaide.  

🌏

#behaviour #buildingbetterbrains #edchat #edutwitter #growth #humpday #k12 #learnathome #online #STEM #teachingtips #thursdaymotivation #wednesdayvibes @EtonEndAcademic 

&gt;&gt;&gt; https://t.co/7fxnTMyMGf https://t.co/3x7nWX00Rm",London,en,0.0,Thu Jul 08 00:40:03 +0000 2021,"['Numberella', 'behaviour', 'buildingbetterbrains', 'edchat']",False,False,False,False,True
4444,splarske,"Exploring an #eSports program for your #K12 or #highered school? Learn about the top benefits for students, the most common game types, and how other schools have been structuring their own programs. #education #edtech #cdwsocial https://t.co/MLWtdxmdzr https://t.co/qdjCnT7aEj",USA,en,0.0,Thu Jul 08 00:41:04 +0000 2021,"['eSports', 'K12', 'highered']",False,False,False,False,True
4446,TAFKARR,"Ooh... @rebecca_grella, I think you'd want to know about this!","Commack, NY",en,0.0,Thu Jul 08 00:42:22 +0000 2021,,False,False,False,False,False
4449,aflnewberry3,"#Numberella is Global!

🌏

 #aussieed #cosychat #edchat #eal #edupubchat #eyshare #FFBWednesday #fun #growth #homeschooling2021 #humpday #k12 #STEM #teachingtips #thursdaymorning #wednesdayfeeling @_MrsBG 

&gt;&gt;&gt; https://t.co/uZJw6giHYB https://t.co/2olQsBdFI6","London, England",en,0.0,Thu Jul 08 00:45:05 +0000 2021,"['Numberella', 'aussieed', 'cosychat', 'edchat', 'eal', 'edupubchat', 'eyshare', 'FFBWednesday', 'fun', 'growth']",False,False,False,False,True
4452,bethbadilla,#TEAMPPSD is committed to Social Emotional Learning (SEL) in The Summer Learning Academy. Intentional lessons everyday in every school…here is a mindful moment with Ms. Ferreira! @DmitchEdD @PEA_NJEA @PlainfieldBOE @caryn1014 @ybreauxsaus382 @UnionCoNJDOE @JeffersonES1750 https://t.co/8XzwiV1OwP,,en,0.0,Thu Jul 08 00:48:50 +0000 2021,['TEAMPPSD'],True,False,False,False,False
4453,idiomeducator,"Want to test your understanding!? Take this short quiz!: https://t.co/gwlAE2SuzD

#idiomeducator.org #idioms #ELL #englisheducation #turnablindeye #idiomoftheweek https://t.co/YHImZleGpp",,en,0.0,Thu Jul 08 00:48:53 +0000 2021,"['idiomeducator', 'idioms', 'ELL']",False,False,True,False,False
